date,confirmed_cases
2003-03-17,95
2003-03-18,123
2003-03-19,150
2003-03-20,173
2003-03-21,203
2003-03-22,222
2003-03-24,260
2003-03-25,286
2003-03-26,1108
2003-03-27,1173
2003-03-28,1231
2003-03-29,1276
2003-03-31,1336
2003-04-01,1491
2003-04-02,1898
2003-04-03,1924
2003-04-04,1981
2003-04-05,2020
2003-04-07,2151
2003-04-08,2207
2003-04-09,2250
2003-04-10,2288
2003-04-11,2368
2003-04-12,2479
2003-04-14,2608
2003-04-15,2650
2003-04-16,2700
2003-04-17,2754
2003-04-18,2870
2003-04-19,2870
2003-04-21,3361
2003-04-22,3435
2003-04-23,3763
2003-04-24,3910
2003-04-25,4111
2003-04-26,4280
2003-04-28,4471
2003-04-29,4875
2003-04-30,5049
2003-05-01,5238
2003-05-02,5410
2003-05-03,5592
2003-05-05,5917
2003-05-06,6055
2003-05-07,6214
2003-05-08,6359
2003-05-09,6472
2003-05-10,6558
2003-05-12,6696
2003-05-13,6775
2003-05-14,6822
2003-05-15,6866
2003-05-16,6897
2003-05-17,6919
2003-05-19,6950
2003-05-20,6966
2003-05-21,6968
2003-05-22,6993
2003-05-23,7009
2003-05-24,7033
2003-05-26,7042
2003-05-27,7050
2003-05-28,7053
2003-05-29,7057
2003-05-30,7064
2003-05-31,7067
2003-06-02,7074
2003-06-03,7076
2003-06-04,7077
2003-06-05,7077
2003-06-06,7079
2003-06-09,7081
2003-06-10,7082
2003-06-11,7083
2003-06-12,7083
2003-06-13,7082
2003-06-16,7081
2003-06-17,7081
2003-06-18,7081
2003-06-19,7081
2003-06-20,7081
2003-06-23,7081
2003-06-24,7081
2003-06-25,7082
2003-06-26,7082
2003-06-27,7082
2003-06-30,7082
2003-07-01,7082
